iso;gebietsname;wahlbet;a_ungueltig;a_spoe;a_oevp;a_fpoe;a_gruene;a_neos;a_pilz;a_gilt;a_floe;a_kpoe;a_weisse;gewinner;spoe;oevp;fpoe;gruene;neos;pilz;gilt;floe;kpoe;weisse
0;Österreich;80.00135292;0.994985043;26.8592716;31.47038154;25.96568907;3.799619285;5.296287187;4.409193896;0.95137427;0.175327899;0.782831476;0.180811211;oevp;1361746;1595526;1316442;192638;268518;223543;48234;8889;39689;9167
10000;Burgenland;84.46206067;0.990451579;32.91887171;32.80994708;25.24122694;2.020243539;2.878795664;2.840774803;0.665365052;0.140266146;0.370960284;0.113548785;spoe;64070;63858;49127;3932;5603;5529;1295;273;722;221
10099;Wahlkarten - Burgenland;;100;;;;;;;;;;;spoe;0;0;0;0;0;0;0;0;0;0
1A000;Burgenland Nord;84.77394105;0.985851824;33.20770112;32.27031648;24.42251277;2.201154003;3.303673771;3.219163445;0.70910963;0.125308414;0.415751948;0.125308414;spoe;34186;33221;25142;2266;3401;3314;730;129;428;129
1A099;Wahlkarten - Burgenland Nord;;0.3003003;21.08433735;23.19277108;18.37349398;7.228915663;11.44578313;13.55421687;1.204819277;0;3.012048193;0.903614458;oevp;70;77;61;24;38;45;4;0;10;3
1B000;Burgenland Süd;84.09918707;0.977437925;32.59456394;33.41586318;26.16050783;1.817110946;2.401727673;2.41590681;0.61624711;0.15706121;0.320666638;0.100344662;oevp;29884;30637;23985;1666;2202;2215;565;144;294;92
1B099;Wahlkarten - Burgenland Süd;;0.486618005;28.85085575;21.7603912;20.53789731;8.80195599;8.068459658;7.82396088;1.95599022;0;1.95599022;0.244498778;spoe;118;89;84;36;33;32;8;0;8;1
10100;Eisenstadt(Stadt);82.06624012;0.756707177;24.84981516;40.72319778;19.8012939;4.008780037;4.840573013;4.205175601;0.693160813;0.103974122;0.693160813;0.080868762;oevp;2151;3525;1714;347;419;364;60;9;60;7
10101;Eisenstadt;71.00112909;0.84813146;24.88639401;40.59075114;20.32878909;3.78241112;4.691259022;4.19673884;0.695001337;0.120288693;0.641539695;0.066827052;oevp;1862;3037;1521;283;351;314;52;9;48;5
10199;Wahlkarten - Eisenstadt(Stadt);;0.170068027;24.61669506;41.56729131;16.439523;5.451448041;5.792163543;4.258943782;0.681431005;0;1.022146508;0.170357751;oevp;289;488;193;64;68;50;8;0;12;2
10200;Rust(Stadt);83.05626598;0.769822941;34.678045;28.78200155;26.9200931;2.249806051;3.413498836;2.560124127;0.930954228;0;0.465477114;0;spoe;447;371;347;29;44;33;12;0;6;0
10201;Rust;71.35549872;0.806451613;33.33333333;29.8102981;27.91327913;2.258355917;3.25203252;2.16802168;0.993676603;0;0.27100271;0;spoe;369;330;309;25;36;24;11;0;3;0
10299;Wahlkarten - Rust(Stadt);;0.546448087;42.85714286;22.52747253;20.87912088;2.197802198;4.395604396;4.945054945;0.549450549;0;1.648351648;0;spoe;78;41;38;4;8;9;1;0;3;0
10300;Eisenstadt-Umgebung;86.4916679;1.023017903;34.96296296;31.71748493;23.60378984;2.039621016;3.021533161;3.166236003;0.819982773;0.117140396;0.42377261;0.127476314;spoe;10148;9206;6851;592;877;919;238;34;123;37
10301;Breitenbrunn am Neusiedler See;75.03128911;1.251042535;34.45945946;30.06756757;22.2972973;2.364864865;3.378378378;6.25;0.844594595;0.084459459;0.253378378;0;spoe;408;356;264;28;40;74;10;1;3;0
10302;Donnerskirchen;76.11842105;1.037165082;27.2489083;37.29257642;27.07423581;2.096069869;2.445414847;2.445414847;0.873362445;0.087336245;0.262008734;0.174672489;oevp;312;427;310;24;28;28;10;1;3;2
10303;Großhöflein;77.84467188;1.082753287;29.00703675;37.84206411;23.92494136;2.032838155;2.892885066;3.127443315;0.234558249;0.469116497;0.469116497;0;oevp;371;484;306;26;37;40;3;6;6;0
10304;Hornstein;73.4939759;1.170960187;36.31516588;29.08767773;22.92654028;2.369668246;2.547393365;4.206161137;1.54028436;0.059241706;0.77014218;0.177725118;spoe;613;491;387;40;43;71;26;1;13;3
10305;Klingenbach;80.28953229;1.386962552;46.55414909;26.4416315;20.95639944;0.984528833;1.547116737;1.969057665;0.984528833;0.140646976;0;0.421940928;spoe;331;188;149;7;11;14;7;1;0;3
10306;Leithaprodersdorf;82.91139241;1.017811705;21.20822622;50.64267352;19.53727506;2.05655527;3.470437018;2.05655527;0.771208226;0;0.257069409;0;oevp;165;394;152;16;27;16;6;0;2;0
10307;Mörbisch am See;79.55166758;0.756013746;35.52631579;29.36288089;28.11634349;1.523545706;2.631578947;1.523545706;0.900277008;0;0.346260388;0.069252078;spoe;513;424;406;22;38;22;13;0;5;1
10308;Müllendorf;77.69973661;1.468926554;34.86238532;29.58715596;23.85321101;1.490825688;4.701834862;4.357798165;0.573394495;0.114678899;0.458715596;0;spoe;304;258;208;13;41;38;5;1;4;0
