iso;spoe;oevp;fpoe;gruene;neos;pilz;gilt;floe;kpoe;weisse;abgegebene;ungueltige;gueltige
0;1361746;1595526;1316442;192638;268518;223543;48234;8889;39689;9167;5120881;50952;5069929
10000;64070;63858;49127;3932;5603;5529;1295;273;722;221;196577;1947;194630
10099;0;0;0;0;0;0;0;0;0;0;17;17;0
1A000;34186;33221;25142;2266;3401;3314;730;129;428;129;103971;1025;102946
1A099;70;77;61;24;38;45;4;0;10;3;333;1;332
1B000;29884;30637;23985;1666;2202;2215;565;144;294;92;92589;905;91684
1B099;118;89;84;36;33;32;8;0;8;1;411;2;409
10100;2151;3525;1714;347;419;364;60;9;60;7;8722;66;8656
10101;1862;3037;1521;283;351;314;52;9;48;5;7546;64;7482
10199;289;488;193;64;68;50;8;0;12;2;1176;2;1174
10200;447;371;347;29;44;33;12;0;6;0;1299;10;1289
10201;369;330;309;25;36;24;11;0;3;0;1116;9;1107
10299;78;41;38;4;8;9;1;0;3;0;183;1;182
10300;10148;9206;6851;592;877;919;238;34;123;37;29325;300;29025
10301;408;356;264;28;40;74;10;1;3;0;1199;15;1184
10302;312;427;310;24;28;28;10;1;3;2;1157;12;1145
10303;371;484;306;26;37;40;3;6;6;0;1293;14;1279
10304;613;491;387;40;43;71;26;1;13;3;1708;20;1688
10305;331;188;149;7;11;14;7;1;0;3;721;10;711
10306;165;394;152;16;27;16;6;0;2;0;786;8;778
10307;513;424;406;22;38;22;13;0;5;1;1455;11;1444
10308;304;258;208;13;41;38;5;1;4;0;885;13;872
10309;804;414;540;27;64;81;17;5;8;1;1981;20;1961
10310;417;425;278;16;21;24;1;4;3;1;1203;13;1190
10311;325;290;153;21;18;11;4;0;5;1;836;8;828
10312;528;622;513;36;46;62;10;2;5;4;1845;17;1828
10313;463;670;487;33;56;40;13;0;9;1;1797;25;1772
10314;241;396;177;15;27;20;1;1;1;1;894;14;880
10315;868;308;376;28;51;42;14;1;3;0;1710;19;1691
10316;605;414;416;30;69;40;19;1;7;1;1610;8;1602
10317;469;368;304;32;31;49;8;0;9;1;1281;10;1271
10318;234;253;290;17;44;32;15;1;3;1;899;9;890
10319;448;380;190;39;23;51;9;1;7;2;1163;13;1150
10320;92;99;84;4;11;11;2;0;0;1;305;1;304
10321;172;192;131;2;13;6;4;0;1;1;529;7;522
10322;182;156;136;10;24;23;10;2;3;0;552;6;546
10323;235;225;107;4;15;9;5;2;4;1;617;10;607
10399;1048;972;487;102;99;115;26;3;19;11;2899;17;2882
10400;5631;6568;4372;310;400;405;101;12;40;11;18010;160;17850
10401;199;141;144;7;5;13;6;1;3;0;527;8;519
10402;226;271;248;15;13;16;2;1;0;0;802;10;792
10403;121;275;119;13;13;12;1;1;0;0;557;2;555
10404;197;279;128;14;9;8;3;1;0;0;641;2;639
10405;614;815;479;31;51;48;10;0;1;1;2065;15;2050
10406;166;250;92;21;19;9;5;1;1;0;574;10;564
10407;122;229;105;8;9;7;2;1;2;0;489;4;485
10408;316;433;361;16;23;46;7;0;2;3;1212;5;1207
10409;227;233;144;2;7;15;5;2;1;1;647;10;637
10410;132;60;106;7;4;6;3;0;0;0;318;0;318
10411;377;174;288;13;24;10;9;0;3;0;910;12;898
10412;215;234;160;6;19;22;3;0;2;1;664;2;662
10413;160;252;171;9;15;13;2;0;0;0;630;8;622
10414;508;434;395;25;41;49;10;1;6;1;1486;16;1470
10415;393;214;90;13;18;14;2;0;1;0;757;12;745
10416;111;284;146;11;6;11;0;0;1;2;579;7;572
10417;167;359;247;17;19;18;5;0;2;1;843;8;835
10418;73;94;53;1;3;2;2;0;1;0;229;0;229
10419;92;90;85;7;14;9;0;0;2;0;301;2;299
10420;55;77;17;5;3;3;0;0;1;0;163;2;161
10421;76;61;63;2;2;2;0;0;0;0;210;4;206
10422;51;60;35;1;0;3;0;0;1;0;151;0;151
10423;25;5;6;1;0;0;0;0;0;0;37;0;37
10424;45;65;37;0;2;2;0;0;0;0;156;5;151
10425;82;84;81;1;7;2;4;1;2;0;264;0;264
10426;21;132;46;2;4;6;0;0;0;1;213;1;212
10427;118;64;110;2;1;2;3;0;0;0;303;3;300
10428;64;149;54;4;4;2;1;0;0;0;280;2;278
10499;678;750;362;56;65;55;16;2;8;0;2002;10;1992
10500;3136;3878;3710;244;287;326;87;14;47;19;11847;99;11748
10501;340;312;334;19;19;26;8;2;7;2;1078;9;1069
10502;163;180;188;11;12;11;3;1;1;0;575;5;570
10503;193;214;239;16;13;12;3;0;0;1;695;4;691
10504;466;830;893;63;66;66;13;4;8;3;2425;13;2412
10505;203;183;237;8;23;12;10;0;1;1;680;2;678
10506;245;190;211;14;17;16;6;2;1;1;706;3;703
10507;117;210;172;7;11;16;3;0;1;2;548;9;539
10508;368;494;391;17;32;48;10;0;9;0;1386;17;1369
10509;353;435;401;31;28;29;15;2;4;2;1320;20;1300
10510;109;174;133;5;3;14;1;0;3;0;443;1;442
10511;142;149;148;4;5;7;2;0;0;0;462;5;457
10512;104;55;82;5;6;6;4;0;0;0;266;4;262
10599;333;452;281;44;52;63;9;3;12;7;1263;7;1256
10600;9512;7826;6225;497;822;875;184;49;95;32;26403;286;26117
10601;395;120;128;6;16;12;7;0;6;1;697;6;691
10602;566;559;468;22;49;46;13;2;0;3;1741;13;1728
10603;304;125;128;12;7;9;3;0;3;0;598;7;591
10604;316;142;251;9;14;24;5;0;3;0;776;12;764
10605;423;451;284;29;39;34;4;3;5;1;1287;14;1273
10606;1385;1219;1036;100;133;151;31;11;18;5;4132;43;4089
10607;907;570;693;42;88;90;12;5;6;3;2451;35;2416
10608;125;163;88;12;17;11;7;0;1;0;427;3;424
10609;651;514;454;41;60;72;13;1;14;6;1844;18;1826
10610;642;506;359;20;38;43;8;14;5;1;1663;27;1636
10611;369;351;322;45;58;82;19;0;3;2;1263;12;1251
10612;725;331;325;31;30;28;9;0;6;1;1515;29;1486
10613;224;279;233;3;17;13;7;1;1;0;787;9;778
10614;367;189;156;17;31;17;8;0;3;0;794;6;788
10615;348;697;474;20;56;72;8;3;5;1;1704;20;1684
10616;114;188;134;6;7;15;4;0;1;0;471;2;469
10617;279;140;71;14;16;21;1;0;1;1;548;4;544
10618;247;343;141;6;20;13;9;0;0;0;781;2;779
10619;137;153;97;5;11;4;1;0;0;0;416;8;408
10699;988;786;383;57;115;118;15;9;14;7;2508;16;2492
10700;11858;12216;9944;777;1201;1078;232;37;134;50;37889;362;37527
10701;595;473;453;12;17;15;2;2;2;3;1589;15;1574
10702;376;473;303;10;20;14;6;1;3;2;1220;12;1208
10703;585;329;545;33;69;51;25;0;4;4;1658;13;1645
10704;133;107;106;1;5;7;1;0;1;3;369;5;364
10705;621;517;456;27;54;33;13;0;8;2;1752;21;1731
10706;245;232;219;4;16;14;4;2;5;3;750;6;744
10707;743;629;716;75;75;68;27;3;7;7;2372;22;2350
10708;300;544;306;30;28;27;7;1;11;2;1276;20;1256
